Data a almacenar [x,y]:
Inf,Inf
Inf,Inf
Inf,Inf
-7320.060,2574.210
->560.809,4735.486
-5953.543,1813.081
-=381.496,3773.972
-5163.578,1311.381
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2339.832,454.155
-1202.959,263.593
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-:235.600,3543.143
Inf,Inf
-1036.331,379.115
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-<482.306,4850.184
-4367.859,1701.311
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-8546.897,3315.659
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-<776.704,4796.881
-4636.547,1714.823
-3569.864,1277.317
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-8597.075,2793.359
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-?443.572,1960.392
-7456.874,835.186
-6502.653,1755.691
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-3002.171,;204.256
-1246.343,4651.415
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2680.617,:890.441
-382.697,1569.516
-2541.235,:397.453
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-4313.132,?357.319
Inf,Inf
-3648.443,=017.900
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2934.896,;222.066
-1047.666,4041.929
-2879.776,;236.337
-465.126,1812.779
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
-2010.252,7627.026
-183.186,695.789
-1839.493,7010.172
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
Inf,Inf
